Instrument,Total Debt,Accounts Payable (CF),NAICS Industry Group Name,Inventories (CF),Delisted Quote Flag,Retained Earnings (Accumulated Deficit),Net Debt Incl. Pref.Stock & Min.Interest,Total Current Assets,Total Liabilities,Company Common Name,CIK Number,Total Equity,Tangible Book Value - Banks,Tangible Book Value - Insurance,"Net Income/Starting Line, Cumulative",Tangible Book Value - Reported,Cash and Short Term Investments,Market Value for Company,Tangible Book Value Per Share,Net Sales,Operating Income,Instrument Is Active Flag,Tangible Book Value - Utility,"Total Assets, Reported",Depreciation And Amortization,Total Current Liabilities
1471055,209667744000.0,,Depository Credit Intermediation,,0.0,28948889000.0,,,550306185000.0,Banco Santander Brasil SA,1471055.0,84087055000.0,53850213000.0,53850213000.0,7464918000.0,53850213000.0,,168173900000.0,7.16903,,,1.0,53850213000.0,634393240000.0,,
1441567,296534000.0,-2576000.0,Computer Systems Design and Related Services,,1.0,-44382000.0,266977000.0,139581000.0,406744000.0,MModal Inc,1441567.0,125051000.0,-210109000.0,-210109000.0,64935000.0,-210109000.0,29557000.0,799440000.0,-3.73069,443800000.0,56385000.0,0.0,-210109000.0,531795000.0,37826000.0,113982000.0
1409979,109541000.0,1096000.0,Support Activities for Mining,-2512000.0,0.0,84413000.0,108590000.0,71999000.0,143949000.0,Foraco International SA,1409979.0,86185000.0,-216000.0,-216000.0,-18283000.0,-216000.0,6204000.0,35080000.0,-0.00241,115164000.0,-14366000.0,1.0,-216000.0,230134000.0,96000.0,105142000.0
1566844,0.0,8723000.0,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",-1938000.0,0.0,-112001000.0,-52816000.0,67484000.0,17836000.0,Mazor Robotics Ltd,1566844.0,64889000.0,62631000.0,62631000.0,-18668000.0,62631000.0,52816000.0,4721300000.0,1.31525,36379000.0,-19021000.0,0.0,62631000.0,82725000.0,356000.0,17511000.0
1420070,10370080.0,-12840.0,Pharmaceutical and Medicine Manufacturing,,,660460.0,6901980.0,68449790.0,49954660.0,ReSearch Pharmaceutical Services Inc,1420070.0,46306020.0,26770930.0,26770930.0,2620450.0,26770930.0,3468100.0,,0.71815,224167980.0,6742360.0,,26770930.0,96260680.0,3722910.0,46848610.0
1420070,,,,,,,,,,,1268591.0,,,,,,,,,,,,,,,
1574565,0.0,-206000.0,Scientific Research and Development Services,,0.0,-96194000.0,-88111000.0,89490000.0,8697000.0,Evogene Ltd,1574565.0,87289000.0,87289000.0,87289000.0,-19592000.0,87289000.0,88111000.0,289440000.0,3.42568,6540000.0,-21089000.0,1.0,87289000.0,95986000.0,1679000.0,5225000.0
1607245,168726000.0,-6616000.0,Pharmaceutical and Medicine Manufacturing,-2783000.0,0.0,-786859000.0,140725000.0,50119000.0,221212000.0,Oasmia Pharmaceutical AB,1607245.0,300371000.0,-152722000.0,-152722000.0,-140481000.0,-152722000.0,28001000.0,462180000.0,-1.18459,172000.0,-140481000.0,1.0,-152722000.0,521583000.0,4508000.0,221212000.0
1567529,1776000.0,1520000.0,Scientific Research and Development Services,742000.0,0.0,-101669000.0,-26856000.0,77077000.0,32953000.0,Kamada Ltd,1567529.0,66743000.0,66413000.0,66413000.0,-6733000.0,66413000.0,28632000.0,666750000.0,1.82217,77494000.0,-5481000.0,1.0,66413000.0,99696000.0,712000.0,27206000.0
1576914,19449000.0,,Software Publishers,28073000.0,0.0,487342000.0,-357891000.0,702517000.0,462200000.0,MIX Telematics Ltd,1576914.0,1444489000.0,562589000.0,562589000.0,148253000.0,562589000.0,375782000.0,3968700000.0,0.9985,1540058000.0,137862000.0,1.0,562589000.0,1906689000.0,27342000.0,361858000.0
1337298,0.0,-10633000.0,Basic Chemical Manufacturing,12864000.0,0.0,48182000.0,-305418000.0,405282000.0,196230000.0,FutureFuel Corp,1337298.0,332813000.0,331405000.0,331405000.0,56341000.0,331405000.0,305418000.0,616320000.0,7.57498,253193000.0,36523000.0,1.0,331405000.0,529043000.0,,144049000.0
1433269,62000.0,,Software Publishers,,1.0,9810000.0,-67158000.0,86998000.0,71263000.0,Diligent Corp (Pre-Merger),1433269.0,51222000.0,34223000.0,34223000.0,8104000.0,34223000.0,70220000.0,619250000.0,0.39131,99309000.0,11550000.0,0.0,34223000.0,122485000.0,3873000.0,55779000.0
1444406,52222027000000.0,-619131000000.0,Petroleum and Coal Products Manufacturing,-217198000000.0,0.0,4213076000000.0,40090277000000.0,24129162000000.0,77633564000000.0,Ecopetrol SA,1444406.0,43673854000000.0,42482277000000.0,42482277000000.0,2404237000000.0,42482277000000.0,13777614000000.0,90867870000000.0,1033.21236,47732350000000.0,8252970000000.0,1.0,42482277000000.0,121307418000000.0,223017000000.0,16387356000000.0
1557800,0.0,424000.0,Software Publishers,,0.0,-16929000.0,-113995000.0,119772000.0,4260000.0,Babylon Ltd,1557800.0,128211000.0,128203000.0,128203000.0,13078000.0,128203000.0,113995000.0,77620000.0,2.49492,15776000.0,12841000.0,1.0,128203000.0,132471000.0,259000.0,4260000.0
1473332,56730910.0,444120.0,Oil and Gas Extraction,,1.0,-18521270.0,56314450.0,3576000.0,65495300.0,Resaca Exploitation Inc,1473332.0,80967890.0,80967890.0,80967890.0,6527770.0,80967890.0,416460.0,,3.90255,20938370.0,6529380.0,0.0,80967890.0,146463190.0,4852830.0,58615620.0
1565228,2107000.0,139000.0,Wireless Telecommunications Carriers (except Satellite),1045000.0,0.0,-209299000.0,-6947000.0,13256000.0,7260000.0,Vislink Technologies Inc,1565228.0,12639000.0,6767000.0,6767000.0,-20902000.0,6767000.0,9054000.0,23800000.0,8.89634,6574000.0,-20111000.0,1.0,6767000.0,19899000.0,5561000.0,5211000.0
1405537,0.0,,Nonmetallic Mineral Mining and Quarrying,,0.0,-173323000.0,-43288000.0,52439000.0,21037000.0,GrowMax Resources Corp,1405537.0,87898000.0,87898000.0,87898000.0,-20872000.0,87898000.0,49244000.0,22090000.0,0.40787,0.0,-4816000.0,1.0,87898000.0,108935000.0,23000.0,2805000.0
